LAST SEEN   TYPE      REASON                       OBJECT                                           MESSAGE
12m         Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-7grkb                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-7grkb to frontier-forge-a10-j
12m         Normal    KEDAScaleTargetDeactivated   scaledobject/vllm-int4                           Deactivated apps/v1.Deployment forge-system/vllm-int4 from 1 to 0
32m         Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-hbn97                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-hbn97 to frontier-forge-a10-j
34m         Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-bh5sx                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-bh5sx to frontier-forge-a10-j
32m         Normal    KEDAScaleTargetDeactivated   scaledobject/vllm-int4                           Deactivated apps/v1.Deployment forge-system/vllm-int4 from 1 to 0
32m         Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
30m         Normal    KEDAScaleTargetDeactivated   scaledobject/vllm-int4                           Deactivated apps/v1.Deployment forge-system/vllm-int4 from 1 to 0
2m32s       Normal    Scheduled                    pod/forge-gateway-7bd85bb8cc-jkwss               Successfully assigned forge-system/forge-gateway-7bd85bb8cc-jkwss to frontier-forge-a10-j
2m32s       Normal    Scheduled                    pod/forge-gateway-7bd85bb8cc-668nn               Successfully assigned forge-system/forge-gateway-7bd85bb8cc-668nn to frontier-forge-a10-j
30m         Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
14m         Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-hfl66                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-hfl66 to frontier-forge-a10-j
16m         Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-kmtcr                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-kmtcr to frontier-forge-a10-j
21m         Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-7fw5w                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-7fw5w to frontier-forge-a10-j
10m         Normal    KEDAScaleTargetDeactivated   scaledobject/vllm-int4                           Deactivated apps/v1.Deployment forge-system/vllm-int4 from 1 to 0
28m         Normal    KEDAScaleTargetDeactivated   scaledobject/vllm-int4                           Deactivated apps/v1.Deployment forge-system/vllm-int4 from 1 to 0
52m         Normal    Scheduled                    pod/vllm-router-7bb55667c9-kt7bj                 Successfully assigned forge-system/vllm-router-7bb55667c9-kt7bj to frontier-forge-a10-j
28m         Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-lkpkn                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-lkpkn to frontier-forge-a10-j
5m27s       Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-9mnpx                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-9mnpx to frontier-forge-a10-j
19m         Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-zr6c7                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-zr6c7 to frontier-forge-a10-j
10m         Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
52m         Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
2m52s       Normal    Scheduled                    pod/forge-k6-saturation-tzcn2                    Successfully assigned forge-system/forge-k6-saturation-tzcn2 to frontier-forge-a10-j
30m         Normal    Scheduled                    pod/vllm-router-6c659c7968-l69r6                 Successfully assigned forge-system/vllm-router-6c659c7968-l69r6 to frontier-forge-a10-j
23m         Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-84br4                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-84br4 to frontier-forge-a10-j
28m         Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
26m         Normal    KEDAScaleTargetDeactivated   scaledobject/vllm-int4                           Deactivated apps/v1.Deployment forge-system/vllm-int4 from 1 to 0
26m         Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
26m         Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-6vjlz                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-6vjlz to frontier-forge-a10-j
39m         Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
23m         Normal    KEDAScaleTargetDeactivated   scaledobject/vllm-int4                           Deactivated apps/v1.Deployment forge-system/vllm-int4 from 1 to 0
23m         Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
